Date;PlayerName;Elo
1952;Smyslov, Vassily;2620
1952;Gligoric, Svetozar;2575
1952;Byrne, Robert E;2560
1952;Filip, Miroslav;2510
1952;Donner, Jan Hein;2470
1952;Rossetto, Hector;2465
1952;Bisguier, Arthur Bernard;2430
1952;Cobo Arteaga, Eldis;2420
1952;Pedersen, Eigil;2370
1952;Enevoldsen, Jens;2350
1954;Smyslov, Vassily;2620
1954;Gligoric, Svetozar;2575
1954;Darga, Klaus;2540
1954;Matanovic, Aleksandar;2515
1954;Filip, Miroslav;2510
1954;Donner, Jan Hein;2470
1954;Rossetto, Hector;2465
1954;Robatsch, Karl;2460
1954;Yanofsky, Daniel Abraham;2460
1954;Bobotsov, Milko G;2455
1956;Portisch, Lajos;2640
1956;Smyslov, Vassily;2620
1956;Gligoric, Svetozar;2575
1956;Darga, Klaus;2540
1956;Uhlmann, Wolfgang;2530
1956;Ivkov, Borislav;2520
1956;Matanovic, Aleksandar;2515
1956;Filip, Miroslav;2510
1956;Ciocaltea, Victor;2470
1956;Robatsch, Karl;2460
1958;Petrosian, Tigran V;2645
1958;Portisch, Lajos;2640
1958;Tal, Mihail;2625
1958;Smyslov, Vassily;2620
1958;Gligoric, Svetozar;2575
1958;Darga, Klaus;2540
1958;Uhlmann, Wolfgang;2530
1958;Ivkov, Borislav;2520
1958;Matanovic, Aleksandar;2515
1958;Filip, Miroslav;2510
1964;Petrosian, Tigran V;2645
1964;Portisch, Lajos;2640
1964;Smyslov, Vassily;2620
1964;Hort, Vlastimil;2600
1964;Gligoric, Svetozar;2575
1964;Pfleger, Helmut;2545
1964;Darga, Klaus;2540
1964;Uhlmann, Wolfgang;2530
1964;Matulovic, Milan;2525
1964;Ivkov, Borislav;2520
1966;Petrosian, Tigran V;2645
1966;Portisch, Lajos;2640
1966;Kortschnoj, Viktor;2640
1966;Tal, Mihail;2625
1966;Hort, Vlastimil;2600
1966;Gligoric, Svetozar;2575
1966;Byrne, Robert E;2560
1966;Uhlmann, Wolfgang;2530
1966;Matulovic, Milan;2525
1966;Ivkov, Borislav;2520
1968;Petrosian, Tigran V;2645
1968;Portisch, Lajos;2640
1968;Kortschnoj, Viktor;2640
1968;Smyslov, Vassily;2620
1968;Hort, Vlastimil;2600
1968;Huebner, Robert;2590
1968;Gligoric, Svetozar;2575
1968;Byrne, Robert E;2560
1968;Pfleger, Helmut;2545
1968;Smejkal, Jan;2545
1970;Petrosian, Tigran V;2645
1970;Kortschnoj, Viktor;2640
1970;Portisch, Lajos;2640
1970;Smyslov, Vassily;2620
1970;Hort, Vlastimil;2600
1970;Gligoric, Svetozar;2575
1970;Smejkal, Jan;2545
1970;Darga, Klaus;2540
1970;Andersson, Ulf;2535
1970;Uhlmann, Wolfgang;2530
1971;Fischer, Robert James;2760
